vehicle_id,total_clips,covered_clips,covered_ratio
229817878,46,0.0,0.0
304245737,32,0.0,0.0
304246535,22,0.0,0.0
304249135,2,0.0,0.0
307989723,16,0.0,0.0
308058091,17,0.0,0.0
312741040,13,1.0,0.077
317984438,31,0.0,0.0
317984514,28,0.0,0.0
317984619,16,0.0,0.0
317984646,4,0.0,0.0
321626503,4,0.0,0.0
322619618,33,0.0,0.0
322641484,18,0.0,0.0
322641996,22,0.0,0.0
322784039,46,0.0,0.0
322785930,13,0.0,0.0
333211468,28,0.0,0.0
333212161,16,0.0,0.0
333545827,50,0.0,0.0
333584194,56,0.0,0.0
333584733,14,0.0,0.0
333585410,12,0.0,0.0
333987612,7,7.0,1.0
334003979,4,0.0,0.0
334006437,3,0.0,0.0
334008589,130,0.0,0.0
334148753,50,0.0,0.0
334154201,1,0.0,0.0
334154315,50,0.0,0.0
334159140,2,0.0,0.0
334723632,8,0.0,0.0
334802885,4,0.0,0.0
335116387,45,0.0,0.0
336854753,82,0.0,0.0
336916651,14,0.0,0.0
336920475,4,0.0,0.0
336920768,5,0.0,0.0
337268755,33,0.0,0.0
337317457,1,0.0,0.0
338303849,1,1.0,1.0
338306241,67,0.0,0.0
339001982,3,0.0,0.0
350179842,12,0.0,0.0
365321388,12,0.0,0.0
365598486,29,0.0,0.0
365598883,53,0.0,0.0
365598969,15,0.0,0.0
365599055,41,0.0,0.0
365670886,86,0.0,0.0
366751690,135,0.0,0.0
366763791,64,0.0,0.0
370979095,2,0.0,0.0
371660225,32,0.0,0.0
371661090,1,0.0,0.0
373265130,4,0.0,0.0
373272248,27,0.0,0.0
377841245,7,0.0,0.0
377841595,1,0.0,0.0
388775883,24,0.0,0.0
402182287,2,0.0,0.0
409223544,74,0.0,0.0
411962094,11,0.0,0.0
415734364,16,0.0,0.0
416296124,29,0.0,0.0
416296293,1,0.0,0.0
417516308,16,0.0,0.0
422008670,4,0.0,0.0
422017575,41,0.0,0.0
425968651,46,0.0,0.0
429536893,111,0.0,0.0
429570713,2,2.0,1.0
429576946,24,0.0,0.0
434846817,5,0.0,0.0
434850546,20,0.0,0.0
434885978,15,0.0,0.0
435028160,18,0.0,0.0
435288506,9,0.0,0.0
436759512,15,0.0,0.0
437380121,68,1.0,0.015
437381828,12,0.0,0.0
442548435,2,0.0,0.0
443385724,4,0.0,0.0
443413751,8,0.0,0.0
443657921,23,0.0,0.0
443668611,12,0.0,0.0
443717449,63,0.0,0.0
443733464,6,0.0,0.0
443744270,81,0.0,0.0
443749850,16,0.0,0.0
452453885,3,0.0,0.0
452460611,5,0.0,0.0
452477724,65,0.0,0.0
453865293,20,0.0,0.0
453885405,10,0.0,0.0
453948326,52,0.0,0.0
454260123,49,0.0,0.0
454270937,30,0.0,0.0
454535057,11,0.0,0.0
456979367,12,1.0,0.083
458181322,12,0.0,0.0
458748209,12,0.0,0.0
458886154,19,0.0,0.0
458891357,16,0.0,0.0
459503546,14,0.0,0.0
459505113,55,0.0,0.0
459505768,16,0.0,0.0
459506000,18,0.0,0.0
459506928,18,0.0,0.0
459618013,23,21.0,0.913
460126455,14,0.0,0.0
460126626,1,0.0,0.0
460126729,111,0.0,0.0
460126901,53,0.0,0.0
464361907,2,0.0,0.0
464367957,14,0.0,0.0
464368268,14,0.0,0.0
464397351,20,0.0,0.0
464868635,46,0.0,0.0
464878170,15,0.0,0.0
466915879,2,0.0,0.0
466968443,6,0.0,0.0
467597649,13,0.0,0.0
507264328,5,0.0,0.0
507264889,6,0.0,0.0
507271653,16,1.0,0.062
507301777,31,0.0,0.0
507302529,56,0.0,0.0
507302670,8,0.0,0.0
507451763,33,1.0,0.03
509636001,8,0.0,0.0
509636042,10,0.0,0.0
509636074,11,0.0,0.0
509636527,1,0.0,0.0
509636557,13,0.0,0.0
509636684,6,0.0,0.0
509636707,6,0.0,0.0
509637163,6,0.0,0.0
509637286,9,0.0,0.0
509637397,4,0.0,0.0
509637506,1,0.0,0.0
509637523,2,0.0,0.0
509637553,12,0.0,0.0
509637621,11,0.0,0.0
509637652,21,0.0,0.0
509637688,10,0.0,0.0
509637738,11,0.0,0.0
509637769,16,0.0,0.0
509637851,22,0.0,0.0
509637899,7,0.0,0.0
509637926,14,0.0,0.0
509637948,23,0.0,0.0
511461222,15,0.0,0.0
511465936,21,0.0,0.0
511466682,16,0.0,0.0
511468560,22,0.0,0.0
511471809,22,0.0,0.0
511472023,6,0.0,0.0
511472466,4,0.0,0.0
511506200,4,0.0,0.0
511633709,20,0.0,0.0
511642605,21,0.0,0.0
511879208,17,0.0,0.0
511879248,13,0.0,0.0
511893849,12,0.0,0.0
511897418,13,0.0,0.0
512980905,11,0.0,0.0
512982665,9,0.0,0.0
512989545,7,0.0,0.0
512990207,14,0.0,0.0
512994171,20,0.0,0.0
513225962,26,0.0,0.0
513234561,12,0.0,0.0
518311941,21,0.0,0.0
518312065,25,0.0,0.0
518312835,17,0.0,0.0
518867282,8,0.0,0.0
523821693,15,0.0,0.0
523821771,10,0.0,0.0
523821830,12,0.0,0.0
523822046,1,0.0,0.0
523822117,15,0.0,0.0
523822178,9,1.0,0.111
523822248,10,0.0,0.0
523822483,18,0.0,0.0
523823149,12,0.0,0.0
523823521,7,0.0,0.0
523823573,9,0.0,0.0
523823722,1,0.0,0.0
523823859,8,0.0,0.0
523824244,156,0.0,0.0
523824495,3,0.0,0.0
524596949,17,0.0,0.0
524598261,21,0.0,0.0
524598614,12,0.0,0.0
