clip,vehicle_id,terminal_event_id,original_event_description,vlm_events_for_pipeline,vlm_change_type,change_action,change_reason,removed_event,added_event,event_changed_flag
194,312741040,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
76,524598614,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
79,524596949,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
178,333585410,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
404,524596949,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
284,518312835,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
282,523822117,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
450,523824244,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
193,333585410,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
95,524596949,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
196,467597649,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
106,518312065,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
395,333585410,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
110,513234561,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
447,454535057,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
448,509636074,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
289,422017575,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
240,524598614,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
174,511472023,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
401,523822117,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
286,518311941,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
287,509637652,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
398,509637286,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
165,417516308,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
274,443668611,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
93,365670886,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
321,453948326,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
280,350179842,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
375,518867282,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
425,509636707,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
320,304246535,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
276,443733464,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
131,350179842,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
250,511879208,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
97,322785930,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
360,509637553,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
163,509636074,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
252,511879208,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
449,333584194,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
115,333584194,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
288,518312065,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
246,458748209,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
133,464361907,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
5,458891357,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
8,511893849,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
291,509637899,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
10,509637688,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
15,509636074,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
234,458891357,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
432,511642605,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
351,507264889,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
35,511465936,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
325,456979367,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
327,454535057,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
136,443385724,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
210,511879208,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
328,511466682,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
189,365670886,,,"['SEATBELT_D_OFF', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
128,322784039,,,"['SEATBELT_D_OFF', 'v_phone']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
422,523822248,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
412,312741040,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
416,336854753,,,"['SEATBELT_D_OFF', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
31,454260123,,,"['SEATBELT_D_OFF', 'v_phone']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
443,464878170,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
33,322619618,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
411,322641484,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
40,523823149,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
413,523821830,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
36,453865293,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
215,523822117,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
247,459505768,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
216,511879248,,,"['SEATBELT_D_OFF', 'v_phone']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
42,523821693,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
43,334003979,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
368,459505768,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
52,524598261,,,"['SEATBELT_D_OFF', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
54,334148753,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
220,509636707,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
221,459618013,,,['v_cam_covered'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
222,416296124,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
195,437380121,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
369,459506928,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
73,523821693,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
441,434850546,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
74,443733464,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
61,524598614,,,"['SEATBELT_D_OFF', 'v_phone']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
152,464397351,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
100,464367957,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
63,453885405,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
64,523823149,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
111,509637948,,,"['SEATBELT_D_OFF', 'v_phone']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
71,334148753,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
277,509637899,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
338,350179842,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
72,460126729,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
205,454270937,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
116,523822483,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
417,459618013,,,['v_cam_covered'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
433,464368268,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
323,507302670,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
324,417516308,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
166,373272248,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
254,365599055,,,"['SEATBELT_D_OFF', 'v_smoke']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
442,350179842,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
256,512980905,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
57,523822483,,,"['SEATBELT_D_OFF', 'v_phone']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
300,467597649,,,"['SEATBELT_D_OFF', 'v_smoke']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
427,523824244,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
331,464367957,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
48,417516308,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
370,350179842,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
434,453948326,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
451,417516308,,,['v_phone'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
167,467597649,,,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
226,388775883,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
183,452477724,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
26,523823573,,,"['v_phone', 'v_distraction']",new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
46,350179842,,,['SEATBELT_D_OFF'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
90,417516308,,,[],no_vlm_signal,no_change,missing vehicle_id or terminal_event_id,,,0
92,464368268,,,['v_distraction'],new_context_added,no_change,missing vehicle_id or terminal_event_id,,,0
