vehicle_id,window_start,window_end,drive_seconds,night_drive_seconds,distance_km,night_distance_km,harsh_corner_count,harsh_braking_count,harsh_accel_count,speeding_count,power_off_ext_batt_disc_count,cam_covered_count,eye_closed_count,yawn_count,fatigue_count,distraction_count,phone_use_count,smoke_count,Driver_Seatbelt_not_on,headway_monitor_count,lane_departure_count,forward_collision_count,ped_collision_count,crash_count,harsh_episode_count,short_speeding_episode_count,long_speeding_episode_count,speeding_episode_count,power_violation_episode_count,camera_obstruction_episode_count,fatigue_episode_count,driver_distraction_episode_count,situational_risk_episode_count,harsh_total_count,fatigue_total_count,driver_distraction_total_count,situational_risk_total_count,drive_hours,night_ratio
229817878,2026-01-01,2026-02-01,382015.0,58413.0,1354.0,0.0,9,21,5,0,0,1,0,0,1,5,34,2,31,0,0,1,0,6,32.0,0.0,0.0,0.0,0.0,1.0,1.0,62.0,1.0,35,1,72,1,106.11527777777778,0.15290760833998665
237220417,2026-01-01,2026-02-01,250065.0,0.0,607.0,0.0,3,0,0,0,0,0,0,0,0,23,18,0,16,0,0,0,0,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,3,0,57,0,69.4625,0.0
304245737,2026-01-01,2026-02-01,247943.0,29377.0,586.0,0.0,2,0,0,0,0,0,0,3,4,1,7,0,15,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,7.0,22.0,0.0,2,7,23,0,68.87305555555555,0.11848287711288481
304246224,2026-01-01,2026-02-01,30216.0,0.0,318.0,0.0,125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127,0,0,0,8.393333333333333,0.0
304246535,2026-01-01,2026-02-01,394598.0,60562.0,978.0,0.0,6,7,11,0,0,0,0,0,0,1,1,0,10,0,0,5,0,0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,24,0,12,5,109.61055555555555,0.15347771656217213
304249135,2026-01-01,2026-02-01,165138.0,14153.0,446.0,0.0,3,0,0,0,1,2,0,4,0,4,0,0,0,625,0,34,2,4,3.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,244.0,3,4,4,661,45.87166666666667,0.08570407780159624
307989723,2026-01-01,2026-02-01,274786.0,56861.0,960.0,0.0,1,8,13,2,1,0,0,0,2,1,4,0,5,138,9,21,2,0,22.0,2.0,0.0,2.0,1.0,0.0,2.0,8.0,82.0,22,2,10,170,76.32944444444445,0.20692830056844236
308058091,2026-01-01,2026-02-01,181315.0,137.0,273.0,0.0,0,2,0,0,0,0,0,0,0,1,5,0,16,0,0,0,0,0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2,0,22,0,50.36527777777778,0.0007555910983647244
312741040,2026-01-01,2026-02-01,49042.0,0.0,329.0,0.0,0,0,0,0,0,1,0,0,0,2,2,0,4,798,248,113,45,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,501.0,0,0,8,1204,13.622777777777777,0.0
317984438,2026-01-01,2026-02-01,229672.0,11818.0,888.0,0.0,4,9,7,84,1,0,0,0,1,2,14,0,13,638,46,60,1,1,20.0,8.0,12.0,20.0,1.0,0.0,1.0,27.0,137.0,20,1,29,745,63.797777777777775,0.0514559894109861
