clip,source_hash,vehicle_id,terminal_event_id,event_ts,camera,status,original_labelled_event_description,labelled_event,labelled_checked,labelled_agreed,cam_o,cam_s,vs,fatigue_summary,smoking_summary,eatdrink_summary,review_seatbelt,review_phone,review_drinking,t_total_s,t_llm_s,driver_vis,seatbelt,phone,distraction,fatigue,smoking,eatdrink,drinking,alcohol,why,seatbelt_support_n,phone_support_n,distraction_support_n,fatigue_support_n,smoking_support_n,det_codes,rev_codes,det_event_descriptions,rev_event_descriptions,primary_vlm_event,seatbelt_off_flag,phone_flag,distraction_flag,fatigue_flag,smoke_flag,cam_covered_flag,face_obstructed_review_flag,seatbelt_uncertain_flag,phone_uncertain_flag,distraction_uncertain_flag,fatigue_uncertain_flag,smoking_uncertain_flag,raw_event_description,raw_event_ts,original_event_description,event_ts_final,vlm_change_type,event_changed_flag,det_rankable_event_descriptions,rev_rankable_event_descriptions,extra_rankable_vlm_events,n_extra_rankable_vlm_events,matched_raw_df_flag
194,ee7127d8cf04c980,312741040,,2026-01-07 10:20:46+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,82.11,51.63,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone in hand or ear, no clear distraction, no fatigue signs, n",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 10:20:46+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
76,2bcb178bd2a00c34,524598614,,2026-01-07 10:21:39+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,82.66,52.89,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, but no seatbelt strap is visible across the chest. No phone or eating/drinking is clearly vis",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 10:21:39+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
79,12f44c2f9a3699c1,524596949,,2026-01-07 07:49:33+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,70.6,40.64,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,11,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 07:49:33+00:00,no_vlm_signal,0,[],[],[],0,0
178,6e3ac0a12cf76438,333585410,,2026-01-05 13:03:12+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,72.75,43.85,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, no seatbelt strap visible, no phone in hand or ear, no clear distraction, no obvious fatigue,",12,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 13:03:12+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
404,b3dd6431c3572305,524596949,,2026-01-06 05:17:38+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,65.46,37.31,1,y,n,u,u,u,n,u,u,"Driver is clearly visible, wearing seatbelt, and appears attentive.",3,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-06 05:17:38+00:00,no_vlm_signal,0,[],[],[],0,0
284,ed3d302d32f9c375,518312835,,2026-01-07 10:17:10+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,68.48,37.53,1,n,n,u,u,u,n,u,u,"Driver is visible but no clear seatbelt strap, phone, or smoking activity is observed.",0,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-07 10:17:10+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
282,f0efe5a62186cc81,523822117,,2026-01-05 05:06:19+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,low,low,69.85,38.52,1,n,n,u,u,u,n,u,u,"Driver is clearly visible, but no seatbelt strap is visible across the chest. No phone or clear distraction is observed.",1,0,0,0,0,[5],[],['SEATBELT_D_OFF'],[],SEATBELT_D_OFF,1,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 05:06:19+00:00,new_context_added,1,['SEATBELT_D_OFF'],[],['SEATBELT_D_OFF'],1,0
450,32dcfad94a5e27eb,523824244,,2026-01-05 04:56:08+00:00,2,OK,,,n,na,2,0,1,u,u,n,high,high,low,45.35,41.93,1,n,y,y,u,u,n,n,n,"Driver is clearly visible, holding a phone, and appears distracted.",12,12,12,0,0,"[5, 10, 11]",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],SEATBELT_D_OFF,1,1,1,0,0,0,0,0,0,0,1,1,,,,2026-01-05 04:56:08+00:00,new_context_added,1,"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",[],"['SEATBELT_D_OFF', 'v_phone', 'v_distraction']",3,0
193,447edc2af894c1a3,333585410,,2026-01-05 05:42:09+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,69.37,39.38,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 05:42:09+00:00,no_vlm_signal,0,[],[],[],0,0
95,26be8e15de8f0804,524596949,,2026-01-05 16:20:41+00:00,2,OK,,,n,na,2,0,1,u,u,n,low,low,low,61.37,32.99,1,y,n,u,u,u,n,u,u,Driver is clearly visible and wearing a seatbelt.,12,0,0,0,0,[],[],[],[],,0,0,0,0,0,0,0,0,0,1,1,1,,,,2026-01-05 16:20:41+00:00,no_vlm_signal,0,[],[],[],0,0
